country,country_code,location_lat,location_lng,property_name,description,bedrooms,bathrooms,amenities,property_lat,property_lng,image_urls
Destin Florida USA,US,30.3935,-86.4958,King's Castle Luxury Beach Escape,Huge private pool and spa with 6-seater golf cart,6,4,"Pool,Spa,WiFi,Golf Cart,Beach Access",30.3958,-86.4920,"https://images.unsplash.com/photo-1505843513577-22bb7d21e455"
Cox's Bazar Bangladesh,BD,21.4272,92.0058,Sea Pearl Beach Villa,Beachfront villa with panoramic sea view,3,2,"WiFi,Beach View,AC,Parking",21.4310,92.0100,"https://images.unsplash.com/photo-1499793983690-e29da59ef1c2"
Bali Indonesia,ID,-8.3405,115.0920,Ubud Jungle Retreat,Private jungle villa with infinity pool,2,2,"Pool,Jungle View,Breakfast,WiFi",-8.5069,115.2625,"https://images.unsplash.com/photo-1518684079-3c830dcef090"
Phuket Thailand,TH,7.8804,98.3923,Patong Beachfront Condo,Modern condo steps from the beach,1,1,"WiFi,AC,Pool Access,Gym",7.8965,98.2966,"https://images.unsplash.com/photo-1582719478250-c89cae4dc85b"
Cancun Mexico,MX,21.1619,-86.8515,Riviera Maya Oceanfront Suite,All-inclusive resort suite with ocean view,2,2,"Pool,Ocean View,All Inclusive,WiFi",21.1430,-86.7905,"https://images.unsplash.com/photo-1505881502353-a1986add3762"
Maldives,MV,3.2028,73.2207,Overwater Bungalow Paradise,Private overwater villa with glass floor,1,1,"Pool,Ocean View,Snorkeling,WiFi",4.1755,73.5093,"https://images.unsplash.com/photo-1573843981267-be1999ff37cd"
Santorini Greece,GR,36.3932,25.4615,Caldera View Cave Suite,Whitewashed suite with caldera sunset views,2,1,"WiFi,Sunset View,Breakfast,AC",36.4618,25.3753,"https://images.unsplash.com/photo-1570077188670-e3a8d69ac5ff"
Swiss Alps Switzerland,CH,46.8182,8.2275,Alpine Chalet Retreat,Cozy wooden chalet with mountain views,4,3,"Fireplace,Mountain View,Sauna,Parking",46.5197,7.9609,"https://images.unsplash.com/photo-1518602164578-cd0074062767"
Tuscany Italy,IT,43.7711,11.2486,Vineyard Villa Tuscany,Historic villa surrounded by vineyards,5,3,"Pool,Vineyard View,Kitchen,WiFi",43.4674,11.1747,"https://images.unsplash.com/photo-1523906834658-6e24ef2386f9"
Queenstown New Zealand,NZ,-45.0312,168.6626,Lakefront Adventure Lodge,Modern lodge with lake and mountain views,3,2,"Lake View,Hiking Access,WiFi,Parking",-45.0246,168.6608,"https://images.unsplash.com/photo-1469854523086-cc02fe5d8800"
Marrakech Morocco,MA,31.6295,-7.9811,Riad Garden Retreat,Traditional riad with courtyard garden,3,2,"Pool,Garden,Breakfast,AC",31.6258,-7.9891,"https://images.unsplash.com/photo-1539020140153-e479b8c22e70"
Kyoto Japan,JP,35.0116,135.7681,Traditional Machiya House,Restored townhouse near historic temples,2,1,"WiFi,Garden,Tatami Rooms,Kitchen",35.0094,135.7706,"https://images.unsplash.com/photo-1493976040374-85c8e12f0c0e"
Amalfi Coast Italy,IT,40.6340,14.6027,Cliffside Sea View Villa,Terraced villa overlooking the Tyrrhenian Sea,4,3,"Pool,Sea View,Terrace,WiFi",40.6213,14.5818,"https://images.unsplash.com/photo-1533104816931-20fa691ff6ca"
Banff Canada,CA,51.1784,-115.5708,Rocky Mountain Cabin,Log cabin with views of the Canadian Rockies,3,2,"Fireplace,Mountain View,Hot Tub,Parking",51.1645,-115.5723,"https://images.unsplash.com/photo-1517824806704-9040b037703b"
Zanzibar Tanzania,TZ,-6.1659,39.2026,Beachfront Swahili Villa,Private villa steps from white sand beaches,3,2,"Pool,Beach Access,WiFi,Breakfast",-6.1357,39.3621,"https://images.unsplash.com/photo-1540541338287-41700207dee6"